player_strategy,enemy_strategy,runs,playerWin,enemyWin,draw,playerWinRatePercent
pasif,pasif,1000,1000,0,0,100.0
pasif,saldirgan,1000,0,1000,0,0.0
pasif,savunmaci,1000,0,1000,0,0.0
pasif,vurkac,1000,1000,0,0,100.0
pasif,kusatma,1000,1000,0,0,100.0
pasif,toplanma,1000,1000,0,0,100.0
saldirgan,pasif,1000,1000,0,0,100.0
saldirgan,saldirgan,1000,0,0,1000,0.0
saldirgan,savunmaci,1000,1000,0,0,100.0
saldirgan,vurkac,1000,1000,0,0,100.0
saldirgan,kusatma,1000,1000,0,0,100.0
saldirgan,toplanma,1000,1000,0,0,100.0
savunmaci,pasif,1000,0,1000,0,0.0
savunmaci,saldirgan,1000,0,1000,0,0.0
savunmaci,savunmaci,1000,0,1000,0,0.0
savunmaci,vurkac,1000,0,1000,0,0.0
savunmaci,kusatma,1000,1000,0,0,100.0
savunmaci,toplanma,1000,0,1000,0,0.0
vurkac,pasif,1000,0,1000,0,0.0
vurkac,saldirgan,1000,0,1000,0,0.0
vurkac,savunmaci,1000,0,1000,0,0.0
vurkac,vurkac,1000,0,1000,0,0.0
vurkac,kusatma,1000,1000,0,0,100.0
vurkac,toplanma,1000,0,1000,0,0.0
kusatma,pasif,1000,0,1000,0,0.0
kusatma,saldirgan,1000,0,1000,0,0.0
kusatma,savunmaci,1000,0,1000,0,0.0
kusatma,vurkac,1000,0,1000,0,0.0
kusatma,kusatma,1000,1000,0,0,100.0
kusatma,toplanma,1000,0,1000,0,0.0
toplanma,pasif,1000,1000,0,0,100.0
toplanma,saldirgan,1000,0,1000,0,0.0
toplanma,savunmaci,1000,1000,0,0,100.0
toplanma,vurkac,1000,1000,0,0,100.0
toplanma,kusatma,1000,1000,0,0,100.0
toplanma,toplanma,1000,105,103,792,10.5
